name,total_downloads,daily_downloads
activeadmin-cms,8455,0
active_admin-codigo5_signature,1831,0
active_admin_csv_import,55035,0
active_admin_csv_with_bom,1750,0
activeadmin_custom_layout,11839,0
active_admin_date_range_preset,26171,3
active_admin_datetimepicker,743620,98
active_admin_delayed_job,7798,0
activeadmin_draggable,40326,0
activeadmin-dragonfly,3402,0
activeadmin-dropzone,27405,0
activeadmin-dry-validation,5382,0
active_admin-duplicatable,16680,0
activeadmin_dynamic_fields,68877,8
active_admin_editor,199959,0
active_admin-elastic_stats,3655,0
active_admin_environment,22400,1
active_admin_environment_tag,6830,0
active_admin_excel_upload,2501,0
activeadmin_expandable_inputs,13272,0
active_admin-exportable,486,2
activeadmin-exporter,2210,0
active_admin-extensions,7581,0
active_admin_face,4232,0
activeadmin_file_input_on_steroids,22887,0
active_admin_filters_visibility,20219,1
active_admin_flat_skin,41352,5
active_admin-form_errors,5599,0
activeadmin_froala_editor,49710,8
activeadmin-generator,99319,0
activeadmin-globalize,13269,1
activeadmin-globalize3,35008,0
activeadmin-globalize3-dougui,7703,0
ActiveAdmin-Globalize3-inputs,11644,0
active_admin_globalize3_locale_selector,3955,0
activeadmin-globalize3-unofficial,8017,0
activeadmin_globalize_inputs,67945,0
activeadmin_google_places,2159,0
activeadmin-history,1500,0
activeadmin_hstore_editor,89989,0
active_admin-humanized_enum,14577,0
activeadmin_images,11770,0
active_admin_import,439166,33
active_admin_importable,327511,24
active_admin_import_anything,50981,1
active_admin_importer,2829,0
activeadmin-index_as_calendar,19261,0
active_admin-inputs-filters-comparable_select_input,3521,0
activeadministration,6158,0
active_administration,8844,0
active_admin_jcrop,41331,1
activeadmin_jfu_upload,8066,2
activeadmin_jobs,21650,0
active_admin-jquery_inputmask,8804,0
activeadmin_json_editor,1032347,128
activeadmin_latlng,37649,11
activeadmin-localize,5596,0
activeadmin-logins,17119,0
activeadmin-logs,5655,0
activeadmin-magicfields,6152,0
active_admin_mail,1693,0
active_admin_map_index,2308,0
active_admin-markdown_editor,2460,0
activeadmin_materialize_theme,4301,2
activeadmin_medium_editor,58701,6
active_admin_menu,18486,0
active_admin_modal_upload,9266,0
activeadmin-mongoid,55460,3
activeadmin-mongoid-blog,72655,0
activeadmin-mongoid-localize,50466,0
activeadmin-mongoid-reorder,24681,0
activeadmin-mongoidv3,15621,0
activeadmin-mongomapper,8915,0
active_admin_multi_upload,21857,0
activeadmin-nested-namespaces,2751,0
activeadmin-orac,3374,2
activeadmin-orderable,86665,50
activeadmin-orderable-table,5887,0
activeadmin_pagedown,28915,0
active_admin_pagination,8303,0
active_admin_paranoia,181932,6
activeadmin_polymorphic,29694,0
activeadmin-poro-decorator,50600,49
active_admin_pro,24130,0
activeadmin-qiniu_input,1328,0
